col,row,plot_number,tree_no,plot_id,Phy_zone,X_tree_and_climber_position,forest_stand,bearing,distance,distance_unit_name,species,species_name,Species_Name,dbh,quality_class,crown_class,lopping,sample_tree_type,height,crown_height,base_tree_height,base_crown_height,base_slope,age,radial_growth,height_m,remarks,diameter_p
38,61,1,14,38-61-1,2,14,1,290,16.6,m,6615,Shorea robusta,Shorea robusta,52.5,1,1,0,1,18.9,13.8,0,0,NA,0,0,18.9,--,52.5
38,61,1,19,38-61-1,2,19,1,321,18.6,m,6113,Anogeissus latifolius,Anogeissus latifolia,46.3,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,46.3
38,61,1,20,38-61-1,2,20,1,332,9.7,m,6147,Buchanania latifolia,Buchanania latifolia,25.5,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,25.5
38,61,1,21,38-61-1,2,21,1,353,5,m,6369,Lagerstroemia parviflora,Lagerstroemia parviflora,14.5,3,2,0,5,8.6,2.1,0,0,NA,0,0,8.6,dbh at 1.2m,14.5
38,61,1,22,38-61-1,2,22,1,356,9.8,m,6147,Buchanania latifolia,Buchanania latifolia,21.5,1,1,0,1,18.1,11.3,3.9,0,0,0,0,18.5,--,21.5
38,61,1,23,38-61-1,2,23,1,357,19.3,m,6617,Sloanea sterculiaceus,OTHERS-1,46.4,2,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,46.4
38,61,2,1,38-61-2,2,1,1,15,3.2,m,6660,Terminalia alata,Terminalia tomentosa,46.5,2,1,0,1,16.6,4.5,0,0,NA,0,0,16.6,--,46.5
38,61,2,2,38-61-2,2,2,1,15,3.2,m,6660,Terminalia alata,Terminalia tomentosa,18.3,2,2,0,4,13.5,6.9,0,0,NA,0,0,13.5,#NAME?,18.3
38,61,2,3,38-61-2,2,3,1,50,4.6,m,6446,Miliusa velutina,Miliusa velutina,11.1,2,2,0,5,8,3,0,0,NA,0,0,8,--,11.1
38,61,2,4,38-61-2,2,4,1,66,9.7,m,6370,Lannea coromandelica,Lannea coromandelica,24.5,2,1,0,5,12.9,4.9,0,0,NA,0,0,12.9,--,24.5
38,61,2,5,38-61-2,2,5,1,84,10.1,m,6370,Lannea coromandelica,Lannea coromandelica,29.5,2,1,0,2,15.2,4.1,0,0,NA,0,0,15.2,--,29.5
38,61,2,6,38-61-2,2,6,1,84,3.9,m,6701,Zizyphus mauritiana,OTHERS-1,14.9,3,6,0,3,14.5,3.8,0,0,NA,0,0,14.5,--,14.9
38,61,2,7,38-61-2,2,7,1,94,3.9,m,6469,Nyctanthes arbor-tristis,OTHERS-1,11.6,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,#NAME?,11.6
38,61,2,8,38-61-2,2,8,1,120,8.2,m,6446,Miliusa velutina,Miliusa velutina,18.1,1,2,0,1,14,9.5,2.1,0,0,0,0,14.2,wrongly measured in previous measurement(ccsp out),18.1
38,61,2,9,38-61-2,2,9,1,161,16.7,m,6113,Anogeissus latifolius,Anogeissus latifolia,45.6,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,45.6
38,61,2,10,38-61-2,2,10,1,163,14.2,m,6113,Anogeissus latifolius,Anogeissus latifolia,28.5,2,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--dbh at 1.2m,28.5
38,61,2,11,38-61-2,2,11,1,173,4.2,m,6370,Lannea coromandelica,Lannea coromandelica,26.5,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,26.5
38,61,2,13,38-61-2,2,13,1,210,12.5,m,6113,Anogeissus latifolius,Anogeissus latifolia,41.3,1,2,0,1,16.5,4.2,0,0,NA,0,0,16.5,--,41.3
38,61,2,14,38-61-2,2,14,1,240,8.9,m,6469,Nyctanthes arbor-tristis,OTHERS-1,20.8,3,2,0,5,14.7,4.5,0,0,NA,0,0,14.7,"--sps-mainfal(6695) distance-8.6,dbh at1.4m",20.8
38,61,2,15,38-61-2,2,15,1,266,1.9,m,6469,Nyctanthes arbor-tristis,OTHERS-1,6.5,3,1,0,5,10.1,3.5,0,0,NA,0,0,10.1,#NAME?,6.5
38,61,2,16,38-61-2,2,16,1,270,2.8,m,6469,Nyctanthes arbor-tristis,OTHERS-1,9.5,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,9.5
38,61,2,17,38-61-2,2,17,1,275,2.8,m,6469,Nyctanthes arbor-tristis,OTHERS-1,10.7,3,2,0,2,3.6,1.4,0,0,NA,0,0,3.6,--,10.7
38,61,3,1,38-61-3,2,1,1,11,2.8,m,6147,Buchanania latifolia,Buchanania latifolia,30.2,3,1,0,1,13.5,3.5,3.8,1.2,0,0,0,14,--,30.2
38,61,3,2,38-61-3,2,2,1,29,0.6,m,6147,Buchanania latifolia,Buchanania latifolia,21.2,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,21.2
38,61,3,3,38-61-3,2,3,1,33,11.8,m,6246,Desmodium oojenense,Desmodium oojenense,30.7,2,1,0,4,14.2,5.6,4.8,1.5,0,0,0,15,--,30.7
38,61,3,5,38-61-3,2,5,1,62,9.5,m,6615,Shorea robusta,Shorea robusta,40.2,2,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,40.2
38,61,3,7,38-61-3,2,7,1,78,13.3,m,6660,Terminalia alata,Terminalia tomentosa,24.1,1,1,0,2,15,4.3,4.5,0,0,0,0,15.7,ht.measured twice,24.1
38,61,3,8,38-61-3,2,8,1,80,14.6,m,6615,Shorea robusta,Shorea robusta,44.5,2,1,0,2,15.8,4.2,5.6,0,0,0,0,16.8,--,44.5
38,61,3,9,38-61-3,2,9,1,105,5.3,m,6469,Nyctanthes arbor-tristis,OTHERS-1,13.4,3,1,0,1,6,2.6,1.9,0,0,0,0,6.3,--,13.4
38,61,3,10,38-61-3,2,10,1,107,3.6,m,6469,Nyctanthes arbor-tristis,OTHERS-1,9.9,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,9.9
38,61,3,11,38-61-3,2,11,1,107,3.6,m,6469,Nyctanthes arbor-tristis,OTHERS-1,9.8,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,9.8
38,61,3,12,38-61-3,2,12,1,141,5.7,m,6335,Garuga pinnata,OTHERS-1,11.8,3,1,0,4,2.7,2.3,0,0,NA,0,0,2.7,--,11.8
38,61,3,13,38-61-3,2,13,1,160,5.3,m,6469,Nyctanthes arbor-tristis,OTHERS-1,10.4,3,1,0,4,3.8,2.1,0,0,NA,0,0,3.8,--,10.4
38,61,3,14,38-61-3,2,14,1,240,3.8,m,6469,Nyctanthes arbor-tristis,OTHERS-1,11.9,3,1,0,4,3.8,1.4,0,0,NA,0,0,3.8,--,11.9
38,61,3,15,38-61-3,2,15,1,260,3.2,m,6113,Anogeissus latifolius,Anogeissus latifolia,26.1,2,1,0,2,12.3,3.7,4.2,0.9,0,0,0,13,ht.measured twice,26.1
38,61,3,16,38-61-3,2,16,1,263,1.9,m,6256,Diospyros malabarica,Diospyros spp,11.4,3,2,0,4,4.2,1.5,0,0,NA,0,0,4.2,--,11.4
38,61,3,18,38-61-3,2,18,1,297,8.4,m,6023,Vitex negundo,OTHERS-1,21.6,3,2,0,2,11,5.1,4.9,0,0,0,0,12,--,21.6
