Plot_id,No_trees_ha,BA_sqm_ha,Volume_final_cum_ha,stem_ton_ha,Total_biom_ad_ton_ha,Total_biom_od_ton_ha,carbon_ton_ha,Mean_Diameter2022,Mean_HT_2022
41-53-1,490.76,9.822226612197543,50.85627832797267,37.897704013608376,55.36062122346528,50.32783747587752,23.654083613662436,21.416666666666668,10.141666666666667
41-53-3,216.68,17.896645461745926,142.58820431454575,120.08435261830374,172.05567431486432,156.41424937714936,73.5146972072602,32.857142857142854,16.695238095238096
41-53-4,549.5600000000001,10.022156602632258,56.08846273645293,41.250394712516744,60.240386676921595,54.763987888110535,25.73907430741195,21.0,10.456666666666665
41-53-6,528.1700000000001,25.50755693560818,200.19746682179726,178.7779831944291,252.3205204512193,229.38229131929023,107.80967692006641,28.603333333333335,16.665666666666667
41-58-1,1194.4,23.988083684875605,166.98988269992802,149.77944108943416,210.5328671280898,191.39351557099073,89.95495231836564,24.3125,13.7546875
41-58-3,1028.8500000000001,26.192383568275616,185.05613801589698,152.20232914490074,213.58849313788753,194.17135739807955,91.26053797709739,24.525714285714287,14.007428571428571
41-58-4,860.82,29.052118270245906,248.64886897125737,215.82245692725908,306.8947559627157,278.9952326933779,131.12775936588758,31.316666666666666,17.29375
41-58-6,1342.95,28.20252594139234,203.52913614058434,175.9120012049737,247.8086203032002,225.28056391200016,105.88186503864007,23.84375,14.295
41-61-2,143.70000000000002,3.61702718788704,21.92244252090369,17.06678965096653,24.91803837874458,22.65276216249507,10.646798216372682,22.366666666666664,12.083333333333334
41-61-3,463.56,6.277200494634681,32.39386981394311,23.520076326656007,34.41380579758898,31.28527799780816,14.704080658969833,17.75,8.87375
41-61-4,216.01,26.08830521118409,246.240851527424,196.12464111672193,283.66305366818807,257.87550333471637,121.20148656731669,40.78333333333333,19.918333333333337
41-61-5,214.85999999999999,6.1207901311461494,54.0612202065237,50.44750465951962,72.79631818033879,66.17847107303527,31.103881404326568,44.56666666666666,18.393333333333334
41-61-6,117.84,11.748343736143852,104.92741873606694,87.34452708290502,126.10544992397578,114.64131811270525,53.88141951297146,40.0,16.515
42-55-1,1365.27,21.90493126397613,138.75940172292286,120.43539261009306,176.23608855716645,160.2146259610604,75.30087420169838,19.025,12.754285714285714
42-55-3,1161.18,10.412102526047063,69.89741888357923,62.136059978671305,90.0379172796628,81.85265207242074,38.47074647403774,20.39375,13.09
42-55-4,1180.44,18.269696159051122,106.13358969169107,96.37664471944754,142.95477709120723,129.95888826473384,61.0806774844249,21.400000000000002,11.96
42-55-6,557.76,15.40578225135163,116.91915663995445,100.90751209434373,140.34787230868235,127.58897482607485,59.96681816825517,24.571428571428573,14.996190476190478
43-50-1,164.71,6.549940641165577,38.5517500262291,25.625882850615437,37.41662125584962,34.01511023259056,15.987101809317561,24.29,11.421
43-50-3,263.77,23.598398411549287,203.42971869428138,175.9411651789466,242.4332334976343,220.393848634213,103.5851088580801,35.68333333333333,17.858333333333334
43-50-4,607.91,13.086304834700796,72.83201246628457,51.27352980031646,74.37299797338474,67.61181633944067,31.777553679537114,26.714285714285715,8.356428571428571
43-50-6,201.86,23.397266675530776,204.54968359207595,170.89004046211403,238.11880325185518,216.47163931986833,101.74167048033812,42.029411764705884,18.751176470588234
43-54-1,891.08,15.152761575602034,84.0807705696595,66.6269106105682,97.20474582764439,88.36795075240398,41.53293685362987,23.544444444444444,11.546111111111111
